system_id,player_id,rank,player_name
fg,sa920245,1,Vladimir Guerrero Jr.
fg,sa3007033,2,Wander Franco
fg,sa919910,3,Fernando Tatis Jr.
fg,sa917930,4,Forrest Whitley
fg,18363,5,Victor Robles
fg,sa3004259,6,Royce Lewis
fg,sa873264,7,Nick Senzel
fg,sa830373,8,Eloy Jimenez
fg,sa917949,9,Bo Bichette
fg,18345,10,Kyle Tucker
fg,sa3004837,11,Jo Adell
fg,sa917943,12,Taylor Trammell
fg,sa3004043,13,Keston Hiura
fg,sa829698,14,Brendan McKay
fg,sa872528,15,Keibert Ruiz
fg,sa917929,16,Alex Kirilloff
fg,sa873550,17,Sixto Sanchez
fg,sa917937,18,Carter Kieboom
fg,sa916722,19,Cristian Pache
fg,sa874730,20,Ke’Bryan Hayes
fg,sa917992,21,Dustin May
fg,sa3005068,22,MacKenzie Gore
fg,sa917933,23,Gavin Lux
fg,16622,24,Luis Urias
fg,sa828706,25,Brent Honeywell
fg,sa872786,26,Vidal Brujan
fg,sa917981,27,Jesus Luzardo
fg,sa874238,28,Brendan Rodgers
fg,17282,29,Michael Kopech
fg,sa3008444,30,Casey Mize
fg,sa919327,31,Jazz Chisholm
fg,sa3008139,32,Nick Madrigal
fg,sa874756,33,Austin Riley
fg,sa875195,34,Chris Paddack
fg,sa873680,35,Sean Murphy
fg,18383,36,Michael Soroka
fg,sa828700,37,Mitch Keller
fg,sa917921,38,Ian Anderson
fg,19665,39,Kyle Wright
fg,sa738675,40,A.J. Puk
fg,sa3007786,41,Joey Bart
fg,sa3002792,42,Luis Patino
fg,sa3003396,43,Luis Robert
fg,sa832877,44,Adonis Medina
fg,15015,45,Alex Reyes
fg,18882,46,Brandon Lowe
fg,16535,47,Danny Jansen
fg,sa873981,48,Peter Alonso
fg,sa3004378,49,Drew Waters
fg,sa915704,50,Corbin Martin
fg,sa3005315,51,Hunter Greene
fg,sa917114,52,Andres Gimenez
fg,sa962605,53,Luis Garcia
fg,sa872787,54,Jesus Sanchez
fg,sa872847,55,William Contreras
fg,sa3007512,56,Travis Swaggerty
fg,16929,57,Touki Toussaint
fg,sa829000,58,Dylan Cease
fg,16403,59,Francisco Mejia
fg,17285,60,Justus Sheffield
fg,15166,61,Luiz Gohara
fg,sa917318,62,Oneil Cruz
fg,sa3005097,63,Nate Pearson
fg,sa873310,64,Brusdar Graterol
fg,sa917941,65,Nolan Jones
fg,sa3007284,66,Alec Bohm
fg,sa3004923,67,Spencer Howard
fg,sa3006887,68,Ronny Mauricio
fg,sa3005282,69,DL Hall
fg,sa881850,70,Ronaldo Hernandez
fg,sa3008163,71,Matthew Liberatore
fg,19990,72,Bryse Wilson
fg,sa917354,73,Miguel Amaya
fg,20633,74,Yusei Kikuchi
fg,sa3008178,75,Jonathan India
fg,sa874760,76,Triston McKenzie
fg,sa3002838,77,Daulton Varsho
fg,,78,Cole Winn
fg,sa872545,79,Jose Suarez
fg,sa873265,80,Will Smith
fg,sa912848,81,Yusniel Diaz
fg,sa857827,82,Andrew Knizner
fg,sa828671,83,Cole Tucker
fg,sa3007741,84,Jarred Kelenic
fg,sa3007017,85,Nolan Gorman
fg,sa969093,86,Adrian Morejon
fg,sa874168,87,Jon Duplantier
fg,sa829263,88,J.B. Bukauskas
fg,sa738718,89,Justin Dunn
fg,sa915774,90,Evan White
fg,sa917944,91,Brandon Marsh
fg,sa3004720,92,Mark Vientos
fg,sa875192,93,Logan Allen
fg,sa912520,94,Leody Taveras
fg,sa874242,95,Tyler Stephenson
fg,sa917924,96,Matt Manning
fg,sa3004968,97,Tristen Lutz
fg,16794,98,Joshua James
fg,sa3008376,99,Trevor Larnach
fg,19614,100,Cionel Perez
fg,sa829807,101,Griffin Canning
fg,sa918271,102,Taylor Widener
fg,sa830276,103,Yu Chang
fg,sa828704,104,Isan Diaz
fg,sa3007867,105,Nico Hoerner
fg,sa874464,106,Estevan Florial
fg,sa874736,107,Daz Cameron
fg,sa3004140,108,Bubba Thompson
fg,sa3006884,109,Kristian Robinson
fg,sa3005898,110,Brayan Rocchio
fg,sa874054,111,Nick Solak
fg,19262,112,Garrett Hampson
fg,sa3006872,113,George Valera
fg,sa872856,114,Anderson Espinoza
fg,sa3004765,115,Shane Baz
fg,sa3004048,116,Tirso Ornelas
fg,17027,117,Alex Verdugo
fg,sa920275,118,Isaac Paredes
fg,sa917352,119,Aramis Ademan
fg,sa874771,120,Peter Lambert
fg,sa738926,121,Dane Dunning
fg,sa828691,122,Monte Harrison
fg,sa738510,123,Corey Ray
fg,sa874243,124,Josh Naylor
fg,sa943524,125,Yordan Alvarez
fg,sa917936,126,Hudson Potts
fg,18684,127,Sandy Alcantara
fg,sa874807,128,Jahmai Jones
fg,sa968132,129,Michel Baez
fg,sa874734,130,Ryan Mountcastle
fg,sa874781,131,Tony Santillan
fg,sa738578,132,Shed Long
